,id,latitude,longitude,is_location_exact,Property_ID,bedrooms,price,review_scores_rating,number_of_reviews,std_review,Neighbourhood_ID,cleaning_fee,security_deposit,minimum_nights,instant_bookable,is_business_travel_ready,Cancellation_ID,availability_365,Wifi,TV,kitchen,Distance_from_center,Distance_from_airport
59,64245,52.54649889,13.40632947,0,2002,3,44,98,45,2.768814076,1097,15,150,3,0,0,3001,123,1,0,1,2.9,8.2
60,64590,52.49497033,13.42399149,1,2002,2,102,100,34,2.855885161,1108,30,200,2,0,0,3003,0,1,1,1,3.1,12.4
61,68142,52.52489353,13.45385735,1,2002,1,29,96,70,2.648292652,1031,15,85,2,0,0,3001,58,1,1,1,3.4,12.1
62,68448,52.5497981,13.41595961,1,2002,0,84,90,220,2.305401579,1096,0,200,3,1,0,3001,315,1,0,1,3.4,8.6
63,72079,52.50780326,13.31870726,1,2002,1,80,97,37,2.770367165,1056,60,200,3,1,0,3003,349,1,1,1,6,7.5
64,73302,52.50105434,13.35032089,1,2002,1,69,96,200,2.467667642,1109,40,0,3,1,0,3001,178,1,1,1,4.3,8.9
65,74614,52.53769513,13.40853552,0,2002,3,185,81,59,2.302163642,1100,45,0,4,0,0,3001,359,1,1,1,2,8.7
66,80843,52.48086413,13.28998186,1,2002,1,49,98,69,2.700788035,1116,30,250,2,1,0,3003,28,1,1,1,8.9,10.3
67,81049,52.52183918,13.39067216,1,2002,2,155,99,39,2.813528437,1102,60,300,4,0,0,3001,286,1,1,1,1,8.7
68,81081,52.54968096,13.41527791,1,2002,1,66,98,238,2.496275289,1096,30,200,3,1,0,3001,69,1,1,1,3.4,8.6
69,82893,52.53199962,13.38284751,1,2002,1,70,91,71,2.520822099,1019,30,0,3,0,0,3002,225,0,1,1,2,7.6
70,83183,52.53677323,13.42446883,1,2002,1,53,94,197,2.419728428,1099,20,0,2,0,0,3001,249,1,1,1,2.3,9.7
71,83568,52.54484867,13.4189099,1,2002,1,70,100,2,2.990099337,1050,30,0,3,0,0,3001,139,1,1,1,2.9,9
72,83614,52.54621994,13.41785749,1,2002,2,92,96,265,2.435325607,1050,36,190,1,1,0,3003,323,1,1,1,3,8.9
73,85560,52.53181501,13.38229897,1,2003,1,75,92,47,2.612501134,1019,30,0,3,1,0,3003,328,1,1,1,2,7.5
74,86514,52.49820825,13.44177879,1,2002,1,80,92,44,2.622018211,1108,40,150,2,0,0,3001,365,1,0,1,3.5,13
75,87549,52.49615556,13.37397437,1,2002,1,48,94,167,2.444123533,1121,25,0,2,1,0,3001,336,1,1,0,3.4,10.1
76,89102,52.54052906,13.4099496,1,2002,1,114,96,57,2.682762719,1100,40,0,10,0,0,3001,109,1,0,1,2.3,8.6
77,91290,52.49003806,13.42619064,1,2002,1,60,99,44,2.797018211,1103,20,0,2,0,0,3001,2,1,0,1,3.6,12.9
78,102882,52.48878301,13.42195632,1,2002,5,506,94,112,2.513139897,1121,120,400,3,1,0,3001,0,1,0,1,3.7,12.8
79,106290,52.49727118,13.43176773,1,2002,1,50,89,154,2.332190551,1108,45,125,1,0,0,3001,315,1,1,1,3.1,12.6
80,106331,52.53370315,13.43669904,1,2002,1,82,95,91,2.576262112,1099,50,0,60,0,0,3003,319,1,0,1,2.6,10.6
81,107968,52.49854777,13.3429405,1,2002,1,80,99,59,2.752163642,1109,35,300,3,0,0,3001,363,1,1,1,4.8,8.9
82,109658,52.52426457,13.45206718,1,2003,1,60,96,68,2.653308496,1031,25,0,3,0,0,3003,236,1,0,1,3.2,12
83,111579,52.52720112,13.40952821,1,2002,1,70,91,114,2.434909511,1003,30,0,4,0,0,3002,194,1,1,1,0.9,9.3
84,114763,52.48805003,13.35325038,1,2002,3,130,99,53,2.769302485,1110,50,0,3,0,0,3001,140,1,1,1,5,10.3
85,115576,52.58150269,13.39785818,1,2005,2,69,100,3,2.985222767,1015,45,0,2,0,0,3001,344,1,1,1,6.9,7.1
86,116832,52.4909442,13.39619443,1,2002,2,75,100,3,2.985222767,1121,20,250,14,0,0,3001,310,1,0,1,3.3,11.5
87,117649,52.50004366,13.44264896,1,2002,1,68,94,84,2.565855262,1108,25,0,60,1,0,3003,266,1,1,1,3.4,12.9
88,121888,52.5181772,13.4639958,1,2002,1,125,95,5,2.850614712,1031,40,0,7,0,0,3003,0,1,1,1,4,13
89,125349,52.4510523,13.63528316,1,2001,1,70,97,26,2.810525793,1037,25,0,2,0,0,3003,340,1,1,1,17.4,26.8
90,127708,52.5196488,13.41098973,1,2002,1,89,96,443,2.405957245,1003,40,0,2,0,0,3001,295,1,1,1,0.4,9.9
91,128827,52.50948322,13.46119273,1,2002,1,59,98,16,2.876071894,1033,30,0,2,0,0,3001,302,1,1,1,4,13.3
92,135097,52.50089197,13.34691848,1,2002,3,96,85,148,2.238818844,1109,88,0,1,1,0,3001,202,1,1,1,4.5,8.8
93,138955,52.49097476,13.37691015,1,2002,2,75,95,191,2.449040193,1121,40,0,2,0,0,3003,0,1,0,1,3.7,10.7
94,139769,52.52810573,13.39194616,1,2002,1,55,96,226,2.452175242,1003,0,0,2,0,0,3003,322,1,1,1,1.3,8.3
95,143605,52.47677777,13.42437149,1,2002,1,55,91,55,2.563474905,1112,40,200,30,0,0,3001,312,1,1,1,5,13.9
96,145249,52.51819219,13.46122088,1,2004,1,70,94,107,2.521504259,1031,40,85,3,1,0,3001,50,1,1,1,3.8,12.9
97,147946,52.54854936,13.40851675,1,2002,1,31,98,39,2.788528437,1097,0,250,183,0,0,3001,324,1,1,1,3.2,8.2
98,149849,52.52981719,13.40259804,1,2002,2,40,90,47,2.562501134,1003,20,100,2,1,0,3001,84,1,1,1,1.1,8.8
99,151249,52.49677894,13.4167945,1,2002,1,81,85,10,2.577418709,1107,80,1000,1,0,0,3001,342,1,1,1,2.7,11.9
100,153015,52.54714553,13.41825381,1,2002,1,52,88,127,2.340415811,1050,20,0,3,0,0,3003,341,1,0,1,3.1,8.9
101,155048,52.54250549,13.43719326,1,2002,2,100,95,4,2.85539472,1096,80,3000,180,0,0,3001,282,1,1,1,3.3,10.3
102,156010,52.51553512,13.42446742,1,2002,1,36,94,95,2.543370512,1003,50,120,90,1,0,3002,1,1,1,1,1.4,10.9
103,157546,52.49544917,13.42449341,1,2002,2,88,94,45,2.668814076,1108,40,0,5,0,0,3001,291,1,0,1,3,12.4
104,157839,52.53082537,13.34221396,1,2002,1,29,96,252,2.440229803,1074,20,100,1,0,0,3003,324,1,0,1,4.4,5.7
105,158890,52.4990345,13.43653685,1,2002,1,100,100,3,2.985222767,1108,40,1000,10,0,0,3003,325,1,1,1,3.2,12.7
106,159454,52.47831222,13.31140194,1,2006,2,161,98,43,2.775254547,1133,0,1000,2,0,0,3002,222,1,1,1,7.8,10.6
107,160517,52.59656149,13.30217747,1,2007,2,65,100,5,2.975614712,1129,65,500,2,1,0,3001,214,0,1,1,11,2.7
108,161425,52.54566761,13.41446918,1,2002,2,70,94,103,2.52850348,1050,60,200,2,1,0,3003,42,1,0,1,2.9,8.7
109,163287,52.49179158,13.39727063,1,2002,1,29,96,71,2.645822099,1121,20,500,150,0,0,3001,359,1,0,1,3.2,11.4
110,163411,52.49737973,13.43637492,1,2002,2,80,90,12,2.693460218,1108,40,200,5,0,0,3003,253,1,0,1,3.3,12.8
111,167189,52.50188544,13.43801443,1,2003,1,49,95,374,2.386877052,1077,15,0,3,1,0,3002,5,1,0,1,3,12.6
112,168615,52.5805505,13.44539122,1,2002,1,49,100,6,2.970882267,1014,20,0,2,0,0,3003,159,1,1,1,7.3,10.3
113,169603,52.49655708,13.48379361,1,2002,1,59,99,28,2.852891871,1106,49,90,1,1,0,3001,16,1,1,1,5.9,15.4
114,169907,52.46981278,13.33036846,1,2002,1,30,100,13,2.939047715,1034,15,150,1,1,0,3003,0,1,0,1,7.5,11.8
115,170582,52.46746818,13.31373666,1,2002,1,23,96,15,2.830353988,1133,0,500,5,0,0,3003,190,1,0,1,8.5,11.8
116,170652,52.54529865,13.39728936,1,2002,1,40,90,5,2.725614712,1018,50,150,5,0,0,3001,362,1,1,1,2.9,7.6
117,170974,52.4793888,13.43020963,1,2002,1,35,93,48,2.634391696,1082,30,0,7,0,0,3001,89,1,0,1,4.8,13.9
118,171746,52.5441059,13.41409916,1,2002,1,70,94,84,2.565855262,1050,50,0,4,1,0,3003,320,1,1,1,2.8,8.7
119,173153,52.53054851,13.40701671,1,2002,2,80,96,33,2.759461867,1100,50,300,2,0,0,3003,0,1,1,1,1.2,9
120,174391,52.52885629,13.39684141,1,2002,1,42,94,1,2.845024917,1003,10,0,1,0,0,3002,0,1,0,1,1.1,8.5
121,174547,52.51100177,13.41595072,1,2002,2,96,94,31,2.716723478,1003,100,500,60,0,0,3001,0,1,1,1,1.2,10.8
122,174560,52.51072775,13.41790609,1,2002,2,75,94,56,2.635604532,1003,30,0,60,0,0,3003,280,1,1,1,1.4,10.9
123,174576,52.50939927,13.4162288,1,2002,2,96,93,41,2.656825125,1003,100,500,60,0,0,3001,364,1,1,1,1.4,10.9
124,174579,52.50905486,13.41556269,1,2002,2,76,93,81,2.547429033,1003,30,0,60,0,0,3003,0,1,1,1,1.4,10.9
125,175667,52.49137801,13.34331492,1,2002,1,46,89,8,2.686558173,1110,35,200,60,0,0,3001,309,0,1,1,5.2,9.7
126,176342,52.50363148,13.39201042,1,2002,3,296,93,18,2.742635106,1107,98,500,1,0,0,3001,331,1,1,1,2,10.2
127,176355,52.50147592,13.3911069,1,2002,2,244,83,17,2.496832408,1107,98,500,1,0,0,3001,333,1,1,1,2.3,10.3
128,176396,52.57202836,13.35079086,1,2002,3,20,94,11,2.797917068,1089,20,0,1,1,0,3002,0,1,0,1,6.8,3.8
129,176852,52.49300268,13.4408897,1,2002,1,50,80,1,2.495024917,1108,30,350,3,0,0,3003,1,1,1,1,3.9,13.4
130,177486,52.47893832,13.32715762,1,2002,1,59,93,39,2.663528437,1123,30,250,2,0,0,3001,96,1,1,1,7,10.7
131,178347,52.48865417,13.42895572,1,2002,1,75,97,71,2.670822099,1103,40,300,2,0,0,3001,243,1,0,1,3.8,13.1
132,179102,52.56868128,13.39969095,1,2002,3,170,96,118,2.553639369,1093,140,200,2,0,0,3003,244,1,1,1,5.4,7.2
133,180440,52.50064757,13.3016194,1,2002,1,39,96,18,2.817635106,1079,30,100,60,0,0,3001,202,1,1,1,7.3,8.1
134,181160,52.49172696,13.42100042,1,2008,1,39,98,385,2.460639868,1121,0,0,2,0,0,3003,167,1,0,0,3.3,12.5
135,183206,52.52735492,13.38985627,1,2002,1,64,92,389,2.310222673,1003,25,100,1,1,0,3001,287,1,1,1,1.3,8.2
136,183918,52.55762501,13.41293766,1,2002,1,35,84,15,2.530353988,1092,15,100,15,0,0,3003,0,1,0,1,4.2,8.2
137,183988,52.50102763,13.30269749,1,2002,1,100,94,350,2.365098692,1079,50,200,2,1,0,3002,272,1,1,1,7.2,8
138,183996,52.54362828,13.41853581,1,2003,4,375,98,36,2.798838163,1050,100,1000,2,0,0,3001,224,1,1,1,2.8,9
139,185960,52.48350793,13.43555252,1,2009,1,29,93,14,2.759679118,1103,20,0,7,0,0,3003,258,1,1,1,4.6,13.8
140,186851,52.49283186,13.34872956,1,2002,1,32,93,51,2.625247789,1109,0,960,62,0,0,3001,205,1,1,1,4.9,9.7
141,186908,52.38057986,13.65115684,1,2010,1,45,100,2,2.990099337,1115,30,100,2,0,0,3001,86,1,1,1,22.8,32.3
142,186999,52.37886768,13.65123141,1,2005,2,120,77,7,2.39119691,1115,50,200,3,1,0,3001,86,1,1,1,22.9,32.4
143,187206,52.56334467,13.38802157,1,2002,1,25,96,224,2.453229252,1087,0,0,2,1,0,3001,322,1,0,0,5,6.5
144,187326,52.44409411,13.29434208,1,2002,1,59,97,63,2.691295901,1028,35,300,3,1,0,3001,130,1,1,1,11.3,14.4
145,188565,52.57502565,13.26306494,1,2011,1,86,94,4,2.83039472,1127,50,1800,1,1,0,3002,87,0,0,1,11.4,2.1
146,188922,52.53049239,13.41471058,1,2002,1,45,86,14,2.584679118,1100,40,200,28,0,0,3001,0,1,0,1,1.3,9.4
147,189288,52.53814328,13.45552782,1,2007,2,100,94,63,2.616295901,1098,40,150,3,0,0,3001,325,1,1,1,4,11.6
